Project_code	Submitter_donor_ID	Normal_WGS_aliquot_ID	Tumour_WGS_aliquot_ID	Stars	Mean_Coverage_Normal	Mean_Coverage_Tumour	Median/Mean_Coverage_Normal	FWHM_Normal	Median/Mean_Coverage_Tumour	FWHM_Tumour	Somatic_Mutation_Calling_Coverage	%_of_paired_reads_mapping_to_different_chromosomes_Normal	%_of_paired_reads_mapping_to_different_chromosomes_Tumour	Ratio_of_difference_in_edits_between_paired_reads_Normal	Ratio_of_difference_in_edits_between_paired_reads_Tumour
SKCM-US	4cdb18f5-47bf-475f-b34c-fa4912515268	46ecbb48-9320-47ec-8bd8-4657e1885627	66d312fc-809d-428b-98e3-a29d211db35c	5.0	36.97	41.96	1.024262033	0.0971117614	0.9440201426	0.0873470291	2770792561	1.75	2.40	1.210210711	1.267681208
SKCM-US	5bc515c8-7727-4d69-98e9-31bbcb748550	268a11d4-51a7-491c-9060-7dc559dcdb9e	22edd867-dcd6-42b5-92bb-025ceb84b106	4.0	39.96	48.54	0.9898402303	0.211922086	0.9875890636	0.2574243697	2750933822	1.27	1.63	1.154633697	1.128464823
SKCM-US	5f6df69c-4ebf-4811-8b28-ad393dfbe1a3	338df758-f109-4331-8d51-b3ee0eab4229	8d5ffe62-6dd9-4764-b0b7-5e3010eefe6d	5.0	40.09	73.58	1.004329961	0.16158108	0.9700111461	0.136673188	2805137544	2.18	1.65	1.181017719	1.221244799
SKCM-US	6625ce3f-3a1f-45f9-aa42-ab1931d6daf4	759ea550-cc56-4f70-bd66-dceaffbd4b0d	6920fd0a-82bb-43a4-bc78-c29c42961148	5.0	37.07	34.07	1.029678143	0.0876669253	0.9707619107	0.0879631043	2747714457	1.90	2.12	1.240060969	1.193482153
SKCM-US	68f75ab5-9d77-40c5-a8ce-f56016bbe9e4	74f05e46-0aeb-4a0e-924f-546b009bf0a3	d0e033bc-8e97-4322-b3b1-8626f1e2449b	5.0	46.65	67.09	1.008458241	0.1466522653	0.9883467146	0.1368426206	2816169884	1.88	2.14	1.333390436	1.209393787
SKCM-US	76cc1d42-acec-46b3-9663-5e4de2550353	bee27bc1-98f6-4819-b8af-ad2d0aaa3dce	450e8eba-a3a9-4dcb-b423-e33dfcd5c34e	5.0	43.73	62.09	1.007166223	0.1885468189	0.9496943262	0.1596017241	2800448443	1.41	1.51	1.256894448	1.125489929
SKCM-US	7b92fcd4-f9be-4b97-94a2-b2e8348aeaba	5c001667-5412-4e44-806e-a1040f0f300a	64dd81e1-35fa-4579-8a4c-f7486adbb949	5.0	33.76	61.06	0.9933141466	0.1585331989	0.9942999115	0.1728649965	2781507589	1.12	1.54	1.101113339	1.061698529
SKCM-US	7ce09a09-074e-4f38-bed7-98ab34347fbe	7a49b1e5-5fb7-4a7e-85ba-f4c357089023	fe8c62a6-c113-46e8-ab91-fdb90bb6a59f	4.5	38.18	36.88	1.016496234	0.089738924	0.9031633623	0.0820327562	2744000710	1.41	2.61	1.139050615	1.253787744
SKCM-US	800d3a17-269f-4d97-94ff-8585f20038d8	33f2b633-1489-4934-a556-19cc41fc0841	fc249113-83d4-4abe-8c80-a4f7305dcd91	5.0	34.64	59.98	1.003193897	0.1417526534	0.9658601409	0.1252788527	2790888668	1.85	1.34	1.203155064	1.096234633
SKCM-US	81cedb9e-ee43-476b-9ed9-8d0fdb346065	58098074-341b-4873-895b-257de49cf264	3f2ecbcd-5c9e-4d57-8aa5-962e2e86a83c	5.0	33.00	57.82	0.9948791722	0.1374038653	0.9827932828	0.1820590013	2780141981	2.02	1.15	1.108584129	1.095581017
SKCM-US	85400bf1-23e0-4e0f-8df7-f0d108641aee	46ee8ba7-ef58-4b4c-913c-9507e7a9d7e2	affa4ef4-02ec-40f1-b6a2-739f8bf2afa9	5.0	33.76	61.33	1.008672872	0.1413853618	0.9688522196	0.1415251744	2778896995	1.87	1.42	1.260039652	1.122682164
SKCM-US	8c54fcfd-999f-43c5-b31f-26d006f5fff3	628778f0-a013-498a-938a-bea1361add23	a0583407-712d-46f3-8c4e-4eeaa0149087	5.0	33.41	55.66	0.9935778761	0.1184558228	0.9330721032	0.0971981033	2745361117	2.35	1.33	1.176313732	1.373880325
SKCM-US	905ea29f-588a-497b-9f06-2eef3bdc9442	9a345f68-0a6c-433e-91af-1bd41491520c	fa4d35e3-fc38-4e26-a9e0-521a648acec1	5.0	36.40	34.58	1.022637168	0.0902037336	0.9810331272	0.0901307423	2705439629	2.23	1.88	1.143221763	1.141527104
